Name,Value,Description
msoShapeTypeMixed,-2,Mixed shape type
msoAutoShape,1,AutoShape.
msoCallout,2,Callout.
msoChart,3,Chart.
msoComment,4,Comment.
msoFreeform,5,Freeform.
msoGroup,6,Group.
msoEmbeddedOLEObject,7,Embedded OLE object.
msoFormControl,8,Form control.
msoLine,9,Line
msoLinkedOLEObject,10,Linked OLE object
msoLinkedPicture,11,Linked picture
msoOLEControlObject,12,OLE control object
msoPicture,13,Picture
msoPlaceholder,14,Placeholder
msoTextEffect,15,Text effect
msoMedia,16,Media
msoTextBox,17,Text box
msoScriptAnchor,18,Script anchor
msoTable,19,Table
msoCanvas,20,Canvas.
msoDiagram,21,Diagram.
msoInk,22,Ink
msoInkComment,23,Ink comment
msoIgxGraphic,24,SmartArt graphic
msoWebVideo,26,Web video
msoContentApp,27,Content Office Add-in
msoGraphic,28,Graphic
msoLinkedGraphic,29,Linked graphic
